rpm,label
2006,0
2066,0
2103,0
2118,0
2024,0
2075,0
2004,0
2014,0
2176,0
2143,0
2129,0
2111,0
2260,0
2168,0
2241,0
2252,0
2163,0
2205,0
2274,0
2257,0
2300,0
2305,0
2262,0
2319,0
2327,0
2371,0
2371,0
2401,0
2472,0
2387,0
2480,0
2457,0
2512,0
2432,0
2462,0
2559,0
2509,0
2526,0
2509,0
2543,0
2548,0
2635,0
2594,0
2670,0
2691,0
2681,0
2664,0
2669,0
2677,0
2666,0
2728,0
2762,0
2782,0
2780,0
2725,0
2762,0
2794,0
2739,0
2790,0
2870,0
2771,0
2878,0
2815,0
2897,0
2900,0
2955,0
2952,0
2901,0
2935,0
3035,0
2976,0
2942,0
3027,0
3093,0
2894,0
2928,0
3009,0
3019,0
3074,0
3055,0
3111,0
3007,0
3014,0
3125,0
3117,0
3198,0
3181,0
3149,0
3145,0
3209,0
3082,0
3189,0
3229,0
3245,0
3252,0
3255,0
3224,0
3149,0
3142,0
3231,0
3232,0
3361,0
3343,0
3288,0
3317,0
3265,0
3278,0
3351,0
3298,0
3300,0
3288,0
3330,0
3360,0
3454,0
3289,0
3470,0
3386,0
3380,0
3268,0
3419,0
3385,0
3297,0
3399,0
3527,0
3415,0
3412,0
3428,0
3372,0
3484,0
3375,0
3434,0
3446,0
3416,0
3424,0
3518,0
3489,0
3444,0
3458,0
3467,0
3432,0
3517,0
3501,0
3488,0
3529,0
3478,0
3496,0
3430,0
3454,0
3506,0
3523,0
3424,0
3548,0
3530,0
3492,0
3557,0
3462,0
3484,0
3549,0
3456,0
3480,0
3491,0
3548,0
3464,0
3487,0
3574,0
3520,0
3468,0
3401,0
3412,0
3496,0
3483,0
3445,0
3501,0
3483,0
3514,0
3509,0
3512,0
3535,0
3334,0
3453,0
3403,0
3496,0
3389,0
3327,0
3530,0
3388,0
3509,0
3472,0
3450,0
3385,0
3462,0
3447,0
3484,0
3396,0
3481,0
3384,0
3370,0
3406,0
3362,0
3370,0
3374,0
3281,0
3381,0
3251,0
3335,0
3344,0
3353,0
3239,0
3313,0
3317,0
3331,0
3221,0
3259,0
3192,0
3297,0
3279,0
3257,0
3235,0
3269,0
3156,0
3250,0
3185,0
3230,0
3305,0
3177,0
3115,0
3185,0
3162,0
3152,0
3068,0
3217,0
3146,0
3129,0
3013,0
3133,0
2969,0
3080,0
3146,0
2947,0
3004,0
3032,0
3052,0
2923,0
2989,0
2973,0
2966,0
2933,0
2937,0
2858,0
2969,0
2900,0
2897,0
2934,0
2831,0
2887,0
2851,0
2827,0
2822,0
2815,0
2755,0
2662,0
2729,0
2829,0
2717,0
2676,0
2668,0
2766,0
2632,0
2733,0
2762,0
2698,0
2648,0
2533,0
2597,0
2543,0
2559,0
2595,0
2518,0
2534,0
2564,0
2590,0
2446,0
2436,0
2421,0
2416,0
2455,0
2352,0
2401,0
2332,0
2327,0
2404,0
2345,0
2393,0
2287,0
2337,0
2325,0
2281,0
2220,0
2241,0
2280,0
2223,0
2144,0
2127,0
2107,0
2171,0
2130,0
2100,0
2099,0
1991,0
2124,0
2118,0
1982,0
1988,0
2000,0
2095,0
1870,0
1952,0
1862,0
1939,0
1934,0
1832,0
1942,0
1869,0
1829,0
1882,0
1827,0
1834,0
1733,0
1776,0
1812,0
1764,0
1730,0
1756,0
1816,0
1637,0
1702,0
1706,0
1631,0
1618,0
1627,0
1533,0
1661,0
1606,0
1527,0
1551,0
1579,0
1477,0
1536,0
1528,0
1481,0
1402,0
1566,0
1522,0
1414,0
1450,0
1448,0
1350,0
1288,0
1407,0
1358,0
1286,0
1294,0
1244,0
1344,0
1354,0
1260,0
1220,0
1304,0
1238,0
1230,0
1220,0
1167,0
1153,0
1186,0
1181,0
1174,0
1098,0
1040,0
1138,0
1139,0
1004,0
1057,0
1119,0
1088,0
1043,0
1096,0
1059,0
1058,0
934,0
1019,0
952,0
883,0
934,0
951,0
916,0
913,0
844,0
799,0
923,0
904,0
854,0
871,0
854,0
770,0
885,0
788,0
836,0
866,0
688,0
760,0
721,0
765,0
753,0
707,0
770,0
696,0
672,0
753,0
728,0
700,0
689,0
684,0
698,0
697,0
783,0
632,0
652,0
593,0
680,0
627,0
614,0
580,0
598,0
627,0
533,0
643,0
582,0
606,0
598,0
459,0
571,0
585,0
510,0
531,0
538,0
542,0
629,0
488,0
433,0
532,0
583,0
560,0
471,0
569,0
598,0
539,0
506,0
451,0
549,0
503,0
472,0
564,0
514,0
558,0
452,0
555,0
530,0
514,0
543,0
511,0
566,0
411,0
521,0
416,0
504,0
417,0
496,0
501,0
414,0
547,0
503,0
528,0
437,0
521,0
573,0
415,0
554,0
522,0
534,0
581,0
524,0
577,0
487,0
604,0
487,0
516,0
579,0
514,0
490,0
614,0
579,0
537,0
671,0
553,0
593,0
577,0
601,0
651,0
523,0
613,0
637,0
579,0
588,0
572,0
637,0
690,0
638,0
659,0
628,0
564,0
698,0
617,0
733,0
691,0
667,0
676,0
689,0
760,0
760,0
796,0
807,0
774,0
726,0
744,0
753,0
811,0
803,0
799,0
824,0
945,0
909,0
912,0
937,0
847,0
918,0
862,0
939,0
994,0
946,0
841,0
952,0
908,0
930,0
1021,0
1022,0
1058,0
1042,0
1082,0
1042,0
1045,0
1098,0
983,0
1124,0
1177,0
1141,0
1242,0
1039,0
1133,0
1142,0
1126,0
1123,0
1238,0
1189,0
1243,0
1218,0
1235,0
1278,0
1312,0
1347,0
1309,0
1200,0
1350,0
1388,0
1371,0
1377,0
1289,0
1262,0
1278,0
1397,0
1357,0
1437,0
1431,0
1516,0
1459,0
1437,0
1498,0
1540,0
1576,0
1514,0
1522,0
1591,0
1545,0
1639,0
1687,0
1666,0
1570,0
1647,0
1834,0
1772,0
1735,0
1722,0
1739,0
1704,0
1725,0
1816,0
1722,0
1874,0
1902,0
1827,0
1843,0
1871,0
1932,0
1916,0
1949,0
1947,0
2005,0
2002,0
2030,0
1953,0
2015,0
2057,0
1999,0
1983,0
2096,0
2099,0
2088,0
2151,0
2149,0
2113,0
2093,0
2288,0
2228,0
2280,0
2236,0
2289,0
2283,0
2312,0
2271,0
2290,0
2306,0
2432,0
2316,0
2442,0
2417,0
2389,0
2407,0
2417,0
2379,0
2477,0
2436,0
2557,0
